[vmvm - main (2012-09-05 11:41:18,184)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.main(56) | Building links
[vmvm - main (2012-09-05 11:41:19,001)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(111) | 5000 classes processed
[vmvm - main (2012-09-05 11:41:19,287)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.main(60) | Initialized.. now writing to disk
[vmvm - main (2012-09-05 11:41:19,308)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.main(70) | Done
[vmvm - main (2012-09-05 11:41:32,056)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.main(56) | Building links
[vmvm - main (2012-09-05 11:41:33,559)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(111) | 5000 classes processed
[vmvm - main (2012-09-05 11:41:34,095)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.main(60) | Initialized.. now writing to disk
[vmvm - main (2012-09-05 11:41:34,132)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.main(70) | Done
[vmvm - main (2012-09-05 11:41:50,927)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.main(56) | Building links
[vmvm - main (2012-09-05 11:42:12,520)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.main(56) | Building links
[vmvm - main (2012-09-05 11:42:26,487)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.main(56) | Building links
[vmvm - main (2012-09-05 11:42:54,020)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.main(56) | Building links
[vmvm - main (2012-09-05 11:43:41,915)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.main(56) | Building links
[vmvm - main (2012-09-05 11:43:48,221)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.main(56) | Building links
[vmvm - main (2012-09-05 11:44:01,221)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.main(56) | Building links
[vmvm - main (2012-09-05 11:44:19,420)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.main(56) | Building links
[vmvm - main (2012-09-05 11:44:31,440)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.main(56) | Building links
[vmvm - main (2012-09-05 11:44:31,624)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 100 classes processed
[vmvm - main (2012-09-05 11:44:31,714)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 200 classes processed
[vmvm - main (2012-09-05 11:44:31,810)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 300 classes processed
[vmvm - main (2012-09-05 11:44:31,875)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 400 classes processed
[vmvm - main (2012-09-05 11:44:31,922)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 500 classes processed
[vmvm - main (2012-09-05 11:44:31,990)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 600 classes processed
[vmvm - main (2012-09-05 11:44:32,127)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 700 classes processed
[vmvm - main (2012-09-05 11:44:32,208)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 800 classes processed
[vmvm - main (2012-09-05 11:44:32,264)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 900 classes processed
[vmvm - main (2012-09-05 11:44:32,305)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 1000 classes processed
[vmvm - main (2012-09-05 11:44:32,335)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 1100 classes processed
[vmvm - main (2012-09-05 11:44:32,366)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 1200 classes processed
[vmvm - main (2012-09-05 11:44:32,397)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 1300 classes processed
[vmvm - main (2012-09-05 11:44:32,447)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 1400 classes processed
[vmvm - main (2012-09-05 11:44:32,488)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 1500 classes processed
[vmvm - main (2012-09-05 11:44:32,549)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 1600 classes processed
[vmvm - main (2012-09-05 11:44:32,595)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 1700 classes processed
[vmvm - main (2012-09-05 11:44:32,640)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 1800 classes processed
[vmvm - main (2012-09-05 11:44:32,682)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 1900 classes processed
[vmvm - main (2012-09-05 11:44:32,708)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 2000 classes processed
[vmvm - main (2012-09-05 11:44:32,741)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 2100 classes processed
[vmvm - main (2012-09-05 11:44:32,765)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 2200 classes processed
[vmvm - main (2012-09-05 11:44:32,809)] INFO edu.columbia.cs.psl.vmvm.chroot.FSDetector.<init>(112) | 2300 classes processed
